,0
0,Argentina
1,Togo
2,Greece
3,Belize
4,Haiti
5,Central African Republic
6,Mozambique
7,Republic of Moldova
8,Norway
9,Sweden
10,Saint Vincent and the Grenadines
11,Israel
12,Saint Kitts and Nevis
13,Peru
14,New Zealand
15,Democratic Republic of the Congo
16,Solomon Islands
17,Vanuatu
18,Zambia
19,Madagascar
20,Colombia
21,Bahrain
22,Somalia
23,Switzerland
24,New Caledonia
25,Brazil
26,Myanmar
27,Namibia
28,Georgia
29,Kenya
30,Jamaica
31,Afghanistan
32,Nicaragua
33,Réunion
34,India
35,Côte d'Ivoire
36,Saudi Arabia
37,Iraq
38,Guadeloupe
39,Niue
40,Ukraine
41,Panama
42,Fiji
43,Cambodia
44,Albania
45,Chad
46,Ireland
47,Botswana
48,El Salvador
49,Nigeria
50,Chile
51,Iceland
52,Bhutan
53,Cabo Verde
54,Denmark
55,Mali
56,Timor-Leste
57,Eswatini
58,Montenegro
59,Germany
60,Maldives
61,Democratic People's Republic of Korea
62,Faroe Islands
63,Spain
64,Guyana
65,France
66,Gambia
67,Portugal
68,South Africa
69,Mauritius
70,Pakistan
71,Türkiye
72,Romania
73,Serbia
74,Saint Lucia
75,Tonga
76,Ethiopia
77,Russian Federation
78,Uganda
79,Belgium
80,Brunei Darussalam
81,Guinea-Bissau
82,Singapore
83,Grenada
84,Hungary
85,Bahamas
86,Tajikistan
87,Seychelles
88,Indonesia
89,Qatar
90,Zimbabwe
91,Poland
92,Bosnia and Herzegovina
93,Kyrgyzstan
94,Mauritania
95,Paraguay
96,Benin
97,Cameroon
98,Japan
99,Micronesia (Federated States of)
100,Uzbekistan
101,Sao Tome and Principe
102,Algeria
103,Estonia
104,Dominican Republic
105,Mongolia
106,Trinidad and Tobago
107,Tunisia
108,Samoa
109,Costa Rica
110,Armenia
111,Lesotho
112,Suriname
113,"China, mainland"
114,Honduras
115,Egypt
116,North Macedonia
117,"China, Taiwan Province of"
118,Mexico
119,Czechia
120,Guinea
121,Azerbaijan
122,French Polynesia
123,Sierra Leone
124,Antigua and Barbuda
125,Morocco
126,Lebanon
127,Philippines
128,Austria
129,Cook Islands
130,Belarus
131,Bangladesh
132,Australia
133,Oman
134,Canada
135,Latvia
136,United States of America
137,Papua New Guinea
138,Senegal
139,Sri Lanka
140,Republic of Korea
141,Yemen
142,Thailand
143,Gabon
144,Djibouti
145,Burundi
146,Comoros
147,Barbados
148,Eritrea
149,United Arab Emirates
150,Nauru
151,Dominica
152,Libya
153,United Republic of Tanzania
154,Jordan
155,Uruguay
156,Guatemala
157,Nepal
158,Ghana
159,Kazakhstan
160,Sudan
161,Angola
162,Lao People's Democratic Republic
163,Venezuela (Bolivarian Republic of)
164,Syrian Arab Republic
165,Italy
166,Kuwait
167,Ecuador
168,Malawi
169,Malaysia
170,Lithuania
171,Cuba
172,Slovakia
173,Slovenia
174,French Guiana
175,Iran (Islamic Republic of)
176,Puerto Rico
177,Cyprus
178,Malta
179,Netherlands (Kingdom of the)
180,Finland
181,Martinique
182,Viet Nam
183,Turkmenistan
184,South Sudan
185,Burkina Faso
186,Congo
187,Liberia
188,Croatia
189,Bulgaria
190,Rwanda
191,Luxembourg
192,Equatorial Guinea
193,"China, Hong Kong SAR"
194,United Kingdom of Great Britain and Northern Ireland
195,Niger
196,Bolivia (Plurinational State of)
197,Palestine
