Former,Succession,Exists
Saint Kitts and Nevis,['Anguilla'],1
Pacific Islands Trust Territory,"['Marshall Islands', 'Palau', 'Northern Mariana Islands', 'Micronesia (Federated States of)']",0
USSR,"['Armenia', 'Azerbaijan', 'Belarus', 'Estonia', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Latvia', 'Lithuania', 'Republic of Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']",0
Yugoslav SFR,"['Croatia', 'Slovenia', 'North Macedonia', 'Serbia and Montenegro', 'Bosnia and Herzegovina']",0
Czechoslovakia,"['Czechia', 'Slovakia']",0
Ethiopia PDR,"['Ethiopia', 'Eritrea']",0
Belgium-Luxembourg,"['Belgium', 'Luxembourg']",0
Serbia and Montenegro,"['Serbia', 'Montenegro']",0
Guadeloupe,"['Saint Barthélemy', 'Saint Martin (French part)']",1
Netherlands Antilles (former),"['Curaçao', 'Sint Maarten (Dutch part)', 'Bonaire, Sint Eustatius and Saba']",0
Sudan (former),"['South Sudan', 'Sudan']",0
