gu_a3,geounit,name_en,formal_en
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan
WSB,Akrotiri Sovereign Base Area,Akrotiri Sovereign Base Area,
ALD,Aland,Åland,Åland Islands
ALB,Albania,Albania,Republic of Albania
DZA,Algeria,Algeria,People's Democratic Republic of Algeria
ASM,American Samoa,American Samoa,American Samoa
AND,Andorra,Andorra,Principality of Andorra
AGO,Angola,Angola,People's Republic of Angola
AIA,Anguilla,Anguilla,
ATA,Antarctica,Antarctica,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
ARG,Argentina,Argentina,Argentine Republic
ARM,Armenia,Armenia,Republic of Armenia
ABW,Aruba,Aruba,Aruba
ATC,Ashmore and Cartier Islands,Ashmore and Cartier Islands,Territory of Ashmore and Cartier Islands
AUS,Australia,Australia,Commonwealth of Australia
AUT,Austria,Austria,Republic of Austria
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan
BHR,Bahrain,Bahrain,Kingdom of Bahrain
BJN,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank,
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh
BRB,Barbados,Barbados,Barbados
KAB,Baykonur Cosmodrome,Baikonur,
BLR,Belarus,Belarus,Republic of Belarus
BEL,Belgium,Belgium,Kingdom of Belgium
BLZ,Belize,Belize,Belize
BEN,Benin,Benin,Republic of Benin
BMU,Bermuda,Bermuda,The Bermudas or Somers Isles
BTN,Bhutan,Bhutan,Kingdom of Bhutan
BRT,Bir Tawil,Bir Tawil,
BOL,Bolivia,Bolivia,Plurinational State of Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Botswana,Botswana,Republic of Botswana
BRA,Brazil,Brazil,Federative Republic of Brazil
BRI,Brazilian Island,Brazilian Island,
IOT,British Indian Ocean Territory,British Indian Ocean Territory,
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands
BRN,Brunei,Brunei,Negara Brunei Darussalam
BGR,Bulgaria,Bulgaria,Republic of Bulgaria
BFA,Burkina Faso,Burkina Faso,Burkina Faso
BDI,Burundi,Burundi,Republic of Burundi
CPV,Cabo Verde,Cape Verde,Republic of Cabo Verde
KHM,Cambodia,Cambodia,Kingdom of Cambodia
CMR,Cameroon,Cameroon,Republic of Cameroon
CAN,Canada,Canada,Canada
CYM,Cayman Islands,Cayman Islands,Cayman Islands
CAF,Central African Republic,Central African Republic,Central African Republic
TCD,Chad,Chad,Republic of Chad
CHL,Chile,Chile,Republic of Chile
CHN,China,People's Republic of China,People's Republic of China
CLP,Clipperton Island,Clipperton Island,
COL,Colombia,Colombia,Republic of Colombia
COM,Comoros,Comoros,Union of the Comoros
COK,Cook Islands,Cook Islands,
CSI,Coral Sea Islands,Coral Sea Islands,Coral Sea Islands Territory
CRI,Costa Rica,Costa Rica,Republic of Costa Rica
HRV,Croatia,Croatia,Republic of Croatia
CUB,Cuba,Cuba,Republic of Cuba
CUW,Curaçao,Curaçao,Curaçao
CYP,Cyprus,Cyprus,Republic of Cyprus
CNM,Cyprus No Mans Area,United Nations Buffer Zone in Cyprus,Cyprus No Mans Land
CZE,Czechia,Czech Republic,Czech Republic
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo
DNK,Denmark,Denmark,Kingdom of Denmark
ESB,Dhekelia Sovereign Base Area,Dhekelia Cantonment,
DJI,Djibouti,Djibouti,Republic of Djibouti
DMA,Dominica,Dominica,Commonwealth of Dominica
DOM,Dominican Republic,Dominican Republic,Dominican Republic
TLS,East Timor,East Timor,Democratic Republic of Timor-Leste
ECU,Ecuador,Ecuador,Republic of Ecuador
EGY,Egypt,Egypt,Arab Republic of Egypt
SLV,El Salvador,El Salvador,Republic of El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea
ERI,Eritrea,Eritrea,State of Eritrea
EST,Estonia,Estonia,Republic of Estonia
SWZ,Eswatini,Eswatini,Kingdom of Eswatini
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia
FLK,Falkland Islands,Falkland Islands,Falkland Islands
FRO,Faroe Islands,Faroe Islands,Føroyar Is. (Faeroe Is.)
FSM,Federated States of Micronesia,Federated States of Micronesia,Federated States of Micronesia
FJI,Fiji,Fiji,Republic of Fiji
FIN,Finland,Finland,Republic of Finland
FRA,France,France,French Republic
PYF,French Polynesia,French Polynesia,French Polynesia
ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands
GAB,Gabon,Gabon,Gabonese Republic
GMB,Gambia,The Gambia,Republic of the Gambia
GEO,Georgia,Georgia,Georgia
DEU,Germany,Germany,Federal Republic of Germany
GHA,Ghana,Ghana,Republic of Ghana
GIB,Gibraltar,Gibraltar,
GRC,Greece,Greece,Hellenic Republic
GRL,Greenland,Greenland,Greenland
GRD,Grenada,Grenada,Grenada
GUM,Guam,Guam,Territory of Guam
GTM,Guatemala,Guatemala,Republic of Guatemala
GGY,Guernsey,Guernsey,Bailiwick of Guernsey
GIN,Guinea,Guinea,Republic of Guinea
GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau
GUY,Guyana,Guyana,Co-operative Republic of Guyana
HTI,Haiti,Haiti,Republic of Haiti
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Territory of Heard Island and McDonald Islands
HND,Honduras,Honduras,Republic of Honduras
HKG,Hong Kong S.A.R.,Hong Kong,"Hong Kong Special Administrative Region, PRC"
HUN,Hungary,Hungary,Republic of Hungary
ISL,Iceland,Iceland,Republic of Iceland
IND,India,India,Republic of India
IOA,Indian Ocean Territories,Australian Indian Ocean Territories,
IDN,Indonesia,Indonesia,Republic of Indonesia
IRN,Iran,Iran,Islamic Republic of Iran
IRQ,Iraq,Iraq,Republic of Iraq
IRL,Ireland,Ireland,Ireland
IMN,Isle of Man,Isle of Man,
ISR,Israel,Israel,State of Israel
ITA,Italy,Italy,Italian Republic
CIV,Ivory Coast,Ivory Coast,Republic of Ivory Coast
JAM,Jamaica,Jamaica,Jamaica
JPN,Japan,Japan,Japan
JEY,Jersey,Jersey,Bailiwick of Jersey
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan
KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan
KEN,Kenya,Kenya,Republic of Kenya
KIR,Kiribati,Kiribati,Republic of Kiribati
KOS,Kosovo,Kosovo,Republic of Kosovo
KWT,Kuwait,Kuwait,State of Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic
LAO,Laos,Laos,Lao People's Democratic Republic
LVA,Latvia,Latvia,Republic of Latvia
LBN,Lebanon,Lebanon,Lebanese Republic
LSO,Lesotho,Lesotho,Kingdom of Lesotho
LBR,Liberia,Liberia,Republic of Liberia
LBY,Libya,Libya,Libya
LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein
LTU,Lithuania,Lithuania,Republic of Lithuania
LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg
MAC,Macao S.A.R,Macau,"Macao Special Administrative Region, PRC"
MDG,Madagascar,Madagascar,Republic of Madagascar
MWI,Malawi,Malawi,Republic of Malawi
MYS,Malaysia,Malaysia,Malaysia
MDV,Maldives,Maldives,Republic of Maldives
MLI,Mali,Mali,Republic of Mali
MLT,Malta,Malta,Republic of Malta
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania
MUS,Mauritius,Mauritius,Republic of Mauritius
MEX,Mexico,Mexico,United Mexican States
MDA,Moldova,Moldova,Republic of Moldova
MCO,Monaco,Monaco,Principality of Monaco
MNG,Mongolia,Mongolia,Mongolia
MNE,Montenegro,Montenegro,Montenegro
MSR,Montserrat,Montserrat,
MAR,Morocco,Morocco,Kingdom of Morocco
MOZ,Mozambique,Mozambique,Republic of Mozambique
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar
NAM,Namibia,Namibia,Republic of Namibia
NRU,Nauru,Nauru,Republic of Nauru
NPL,Nepal,Nepal,Nepal
NLD,Netherlands,Netherlands,Kingdom of the Netherlands
NCL,New Caledonia,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua,Republic of Nicaragua
NER,Niger,Niger,Republic of Niger
NGA,Nigeria,Nigeria,Federal Republic of Nigeria
NIU,Niue,Niue,
NFK,Norfolk Island,Norfolk Island,Territory of Norfolk Island
PRK,North Korea,North Korea,Democratic People's Republic of Korea
MKD,North Macedonia,North Macedonia,Republic of North Macedonia
CYN,Northern Cyprus,Turkish Republic of Northern Cyprus,Turkish Republic of Northern Cyprus
MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands
NOR,Norway,Norway,Kingdom of Norway
OMN,Oman,Oman,Sultanate of Oman
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan
PLW,Palau,Palau,Republic of Palau
PSX,Palestine,Palestine,West Bank and Gaza
PAN,Panama,Panama,Republic of Panama
PNG,Papua New Guinea,Papua New Guinea,Independent State of Papua New Guinea
PRY,Paraguay,Paraguay,Republic of Paraguay
PER,Peru,Peru,Republic of Peru
PHL,Philippines,Philippines,Republic of the Philippines
PCN,Pitcairn Islands,Pitcairn Islands,"Pitcairn, Henderson, Ducie and Oeno Islands"
POL,Poland,Poland,Republic of Poland
PRT,Portugal,Portugal,Portuguese Republic
PRI,Puerto Rico,Puerto Rico,Commonwealth of Puerto Rico
QAT,Qatar,Qatar,State of Qatar
SRB,Republic of Serbia,Serbia,Republic of Serbia
COG,Republic of the Congo,Republic of the Congo,Republic of the Congo
ROU,Romania,Romania,Romania
RUS,Russia,Russia,Russian Federation
RWA,Rwanda,Rwanda,Republic of Rwanda
BLM,Saint Barthelemy,Saint Barthélemy,Saint-Barthélemy
SHN,Saint Helena,Saint Helena,
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis
LCA,Saint Lucia,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin,Saint-Martin (French part)
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
WSM,Samoa,Samoa,Independent State of Samoa
SMR,San Marino,San Marino,Republic of San Marino
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia
SCR,Scarborough Reef,Scarborough Shoal,
SEN,Senegal,Senegal,Republic of Senegal
SER,Serranilla Bank,Serranilla Bank,
SYC,Seychelles,Seychelles,Republic of Seychelles
KAS,Siachen Glacier,Siachen Glacier,
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone
SGP,Singapore,Singapore,Republic of Singapore
SXM,Sint Maarten,Sint Maarten,Sint Maarten (Dutch part)
SVK,Slovakia,Slovakia,Slovak Republic
SVN,Slovenia,Slovenia,Republic of Slovenia
SLB,Solomon Islands,Solomon Islands,
SOM,Somalia,Somalia,Federal Republic of Somalia
SOL,Somaliland,Somaliland,Republic of Somaliland
ZAF,South Africa,South Africa,Republic of South Africa
SGS,South Georgia and the Islands,South Georgia and the South Sandwich Islands,South Georgia and the Islands
KOR,South Korea,South Korea,Republic of Korea
SDS,South Sudan,South Sudan,Republic of South Sudan
SPI,Southern Patagonian Ice Field,Southern Patagonian Ice Field,Southern Patagonian Ice Field
ESP,Spain,Spain,Kingdom of Spain
PGA,Spratly Islands,Wake Island,
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka
SDN,Sudan,Sudan,Republic of the Sudan
SUR,Suriname,Suriname,Republic of Suriname
SWE,Sweden,Sweden,Kingdom of Sweden
CHE,Switzerland,Switzerland,Swiss Confederation
SYR,Syria,Syria,Syrian Arab Republic
STP,São Tomé and Principe,São Tomé and Príncipe,Democratic Republic of São Tomé and Principe
TWN,Taiwan,Taiwan,
TJK,Tajikistan,Tajikistan,Republic of Tajikistan
TZA,Tanzania,Tanzania,United Republic of Tanzania
THA,Thailand,Thailand,Kingdom of Thailand
BHS,The Bahamas,The Bahamas,Commonwealth of the Bahamas
TGO,Togo,Togo,Togolese Republic
TON,Tonga,Tonga,Kingdom of Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago
TUN,Tunisia,Tunisia,Republic of Tunisia
TUR,Turkey,Turkey,Republic of Turkey
TKM,Turkmenistan,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu,Tuvalu
USG,US Naval Base Guantanamo Bay,Guantanamo Bay Naval Base,
UGA,Uganda,Uganda,Republic of Uganda
UKR,Ukraine,Ukraine,Ukraine
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland
UMI,United States Minor Outlying Islands,United States Minor Outlying Islands,
VIR,United States Virgin Islands,United States Virgin Islands,Virgin Islands of the United States
USA,United States of America,United States of America,United States of America
URY,Uruguay,Uruguay,Oriental Republic of Uruguay
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan
VUT,Vanuatu,Vanuatu,Republic of Vanuatu
VAT,Vatican,Vatican City,State of the Vatican City
VEN,Venezuela,Venezuela,Bolivarian Republic of Venezuela
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam
WLF,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna Islands
SAH,Western Sahara,Western Sahara,Sahrawi Arab Democratic Republic
YEM,Yemen,Yemen,Republic of Yemen
ZMB,Zambia,Zambia,Republic of Zambia
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe
